ANO,MODELO,MARCA,TIPO,RUA,CIDADE,ESTADO,KM,NOME DO DONO,RG,CPF,SEGURO,MODELO GUINCHO,TONELADAS,TIPO GUINCHO,ANO,MARCA
2022,Compass,Jeep,SUV,BR-116,São Paulo,São Paulo,50,Fernanda Pereira,9012345,  901.234.567-88,  X,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2021,HB20,Hyundai,Hatchback,BR-116,São Paulo,São Paulo,50,Lucas Oliveira,6789012,  678.901.234-55,  X,Guincho Modelo B,8,Guincho de Rodas,2022,LiftMaster
2023,Virtus,Volkswagen,Hatchback,Rodovia Presidente Dutra,Rio de Janeiro,Rio de Janeiro,0,Larissa Santos,7890123,  789.012.345-66,  X,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2023,HB20,Hyundai,Hatchback,Rua Oscar Freire,São Paulo,São Paulo,50,Lucas Oliveira,6789012,  678.901.234-55,  X,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2021,HB20,Hyundai,Hatchback,Rodovia Castelo Branco,Barueri,São Paulo,50,Felipe Oliveira,5678902,  567.890.125-45,  X,Guincho Modelo B,8,Guincho de Rodas,2022,LiftMaster
2023,Prisma,Chevrolet,Hatchback,BR-116,São Paulo,São Paulo,50,Mateus Silva,9012346,  901.234.571-89,  X,Guincho Modelo E,12,Plataforma,2023,GuinchoCorp
2023,Logan,Renault,Sedã,BR-101,Recife,Pernambuco,10,Renato Alves,7890124,  789.012.349-67,  Z,Guincho Modelo C,10,Plataforma,2023,GuinchoCorp
2022,Corolla,Toyota,Sedã,BR-101,Recife,Pernambuco,10,Pedro Alves,8901234,  890.123.456-77,  Y,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2023,Kicks,Nissan,SUV,Av. Paulista,São Paulo,São Paulo,50,Ana Silva,1234567,  123.456.789-00,  X,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2021,Creta,Hyundai,Hatchback,Rua da Aurora,Recife,Pernambuco,10,Isabela Lima,2345679,  234.567.891-12,  Y,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2023,Fit,Honda,Hatchback,Av. Boa Viagem,Recife,Pernambuco,10,Mariana Lima,3456789,  345.678.901-22,  X,Guincho Modelo C,10,Plataforma,2023,GuinchoCorp
2022,Compass,Jeep,SUV,Rua da Aurora,Recife,Pernambuco,10,Renato Alves,7890124,  789.012.349-67,  Z,Guincho Modelo B,8,Guincho de Rodas,2022,LiftMaster
2022,Ka,Ford,Hatchback,Av. Boa Viagem,Recife,Pernambuco,10,Luana Santos,6789013,  678.901.237-56,  X,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2021,Siena,Fiat,Picape,Av. Atlântica,Florianópolis,Santa Catarina,0,Marcos Vieira,3456780,  345.678.902-23,  X,Guincho Modelo C,10,Plataforma,2023,GuinchoCorp
2021,Virtus,Volkswagen,Hatchback,Rodovia Presidente Dutra,Rio de Janeiro,Rio de Janeiro,0,João Santos,2345678,  234.567.890-11,  Y,Guincho Modelo C,10,Plataforma,2023,GuinchoCorp
2023,Virtus,Volkswagen,Hatchback,Rodovia Presidente Dutra,Rio de Janeiro,Rio de Janeiro,0,Larissa Santos,7890123,  789.012.345-66,  X,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2021,Compass,Jeep,SUV,Av. Paralela,Salvador,Bahia,0,Pedro Alves,8901234,  890.123.456-77,  Y,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2022,Toro,Fiat,Picape,BR-101,Recife,Pernambuco,10,Vivian Lima,1234569,  123.456.792-00,  X,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2023,Etios,Toyota,Sedã,Rodovia dos Imigrantes,São Paulo,São Paulo,50,João Santos,2345678,  234.567.890-11,  Y,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2023,Uno,Fiat,Picape,Rua Oscar Freire,São Paulo,São Paulo,50,Gustavo Silva,1234568,  123.456.790-01,  X,Guincho Modelo E,12,Plataforma,2023,GuinchoCorp
2023,Gol,Volkswagen,Hatchback,Av. Beira-Mar Fortaleza,Ceará,Fortaleza,0,Camila Souza,5678901,  567.890.123-44,  Y,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
2021,Gol,Volkswagen,Hatchback,Av. das Américas,Rio de Janeiro,Rio de Janeiro,0,Julia Souza,4567891,  456.789.013-34,  Z,Guincho Modelo E,12,Plataforma,2023,GuinchoCorp
2023,Siena,Fiat,Picape,Rodovia dos Imigrantes,São Paulo,São Paulo,50,Gustavo Silva,1234568,  123.456.790-01,  X,Guincho Modelo D,3,Guincho de Rodas,2022,LiftMaster
2023,Nivus,Volkswagen,Hatchback,Rodovia Castelo Branco,Barueri,São Paulo,50,Gustavo Silva,1234568,  123.456.790-01,  X,Guincho Modelo B,8,Guincho de Rodas,2022,LiftMaster
2023,Renegade,Jeep,SUV,Rodovia dos Imigrantes,São Paulo,São Paulo,50,Fernanda Pereira,9012345,  901.234.567-88,  X,Guincho Modelo C,10,Plataforma,2023,GuinchoCorp
2022,Kicks,Nissan,SUV,Rodovia Presidente Dutra,Rio de Janeiro,Rio de Janeiro,0,Renato Alves,7890124,  789.012.349-67,  Z,Guincho Modelo A,5,Plataforma,2023,GuinchoCorp
